group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score
Sade_(Smooth_Operator),10,26.644,4.598,29.533,4.737,0.7409,0.145,0.5837,0.5385,0.7409,59.71
Smells_Like_Teen_Spirit,10,29.644,5.157,29.778,4.567,0.8312,0.0747,0.5368,0.5347,0.8312,59.48
Papaoutai,10,27.978,7.085,31.6,4.956,0.7582,0.1338,0.5628,0.5062,0.7582,57.93
Blinding_Lights,10,29.867,4.794,31.489,4.596,0.6449,0.1225,0.5333,0.508,0.6449,54.55
Billig_jeans_(feat__Linni),10,28.867,4.63,32.489,4.278,0.6339,0.1082,0.549,0.4924,0.6339,54.33
Claude_Debussy__Clair_de_Lune,10,30.756,5.741,32.022,5.345,0.6741,0.1578,0.5194,0.4997,0.6741,54.25
The_4_Seasons_(Spring)_I__Allegro,10,29.311,6.127,32.044,4.917,0.6177,0.1257,0.542,0.4993,0.6177,54.01
One_More_Time,10,32.022,5.311,31.222,5.981,0.5766,0.2241,0.4997,0.5122,0.5766,52.0
Walking_On_Sunshine,10,29.911,5.534,32.067,6.412,0.5314,0.135,0.5326,0.499,0.5314,51.89
Jolene_(feat__Dolly_Parton),10,31.044,5.17,31.978,3.817,0.5268,0.1379,0.5149,0.5003,0.5268,51.15
ALL,100,30.004,5.492,31.604,4.959,0.5747,0.178,0.5312,0.5062,0.5747,52.99
